,CADASTRO DE SERVIÇOS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,SN,,,,N,,,,MEI,,,,,,,
,CÓDIGO DO SERVIÇO,DESCRIÇÃO DO SERVIÇO,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,,,,
,1207M,"Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,1208M,"Feiras, exposições, congressos e congêneres.","1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,,"Sim, Se Sessão de Mao de Obra -  B.Legal -art. 118  - XXI",,
,1209M,"Bilhares, boliches e diversões eletrônicas ou não.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,1210M,Corridas e competições de animais.,"1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,,"Sim, Se Sessão de Mao de Obra -  B.Legal -art. 118  - XXI",,
,1211M,"Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.","1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,," Sim, Se Sessão de Mao de Obra -  B.Legal -art. 118  - XXI",,
,1212M,Execução de música.,"1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,1213M,"Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.","1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,," Sim, Se Sessão de Mao de Obra -  B.Legal -art. 118  - XXI",,
,1214M,"Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,1215M,"Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.","1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,," Sim, Se Sessão de Mao de Obra -  B.Legal -art. 118  - XXI",,
,1216M,"Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres.","1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,," Sim, Se Sessão de Mao de Obra -  B.Legal -art. 118  - XXI",,
,1217M,"Recreação e animação, inclusive em festas e eventos de qualquer natureza.","1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,," Sim, Se Sessão de Mao de Obra -  B.Legal -art. 118  - XXI",,
,1302M,"Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,1303M,"Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,1304M,"Reprografia, microfilmagem e digitalização.","1,00%",NT,NT,NT,"5,00%","11,00%",NT,NT,NT,NT,NT,NT,,"Sim, para serviços de digitaçao - Art. 117  V - IV ",,
,1305M,"Composição gráfica, fotocomposição, clicheria, zincografia, litografia, fotolitografia.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
